Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,1,0.8760307861462342,0.8002853067047075,0.42403628117913833,0.5543478260869565,0.8896943924181092,0.7082769054152223
Random Forest,2,0.8780923584387026,0.7914438502673797,0.4474678760393046,0.5717044905842588,0.8935946217148972,0.7119691232256836
Random Forest,3,0.8827652556349642,0.8201634877384196,0.455026455026455,0.5853184248906174,0.8886211072143735,0.7209993641355856
Random Forest,4,0.8783672347443651,0.8050139275766016,0.436885865457294,0.5663890249877511,0.8952974922354107,0.7302431072972921
Random Forest,5,0.8812534359538208,0.8273894436519258,0.4383975812547241,0.5731225296442688,0.892217241152952,0.7299288282439094
Random Forest,6,0.8835898845519516,0.8139841688654353,0.46636432350718066,0.5929841422393081,0.8923243411256658,0.7259089277941174
Random Forest,7,0.8767179769103903,0.8042857142857143,0.4255479969765684,0.5565991102323282,0.8932398014733451,0.715064670730217
Random Forest,8,0.8841396371632765,0.8305785123966942,0.4557823129251701,0.5885797950219619,0.8899473819802104,0.7183835262583487
Random Forest,9,0.8816657504123144,0.826271186440678,0.4421768707482993,0.5760709010339734,0.8895482488868778,0.726588849554199
Random Forest,10,0.8789169873556899,0.808066759388039,0.438821752265861,0.5687714145863926,0.8830416747880322,0.7109036252282166
