Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,1,0.9171247938427708,0.9269010148551258,0.983458177278402,0.954342394184902,0.9241303353526984,0.9878528334638292
Random Forest,2,0.9179494227597581,0.925839073721237,0.9857990012484394,0.9548786939762679,0.9376701681941352,0.9907626379393044
Random Forest,3,0.9169873556899395,0.9275191514437242,0.982521847690387,0.9542285541073052,0.9273353944090624,0.9886693306375218
Random Forest,4,0.9143760307861463,0.9266853518218027,0.9803370786516854,0.9527565026162129,0.9176480328448886,0.9868617512752682
Random Forest,5,0.9208356239692138,0.9280681150910158,0.9865792759051186,0.9564296520423601,0.9232663699465531,0.9881173901150488
Random Forest,6,0.9146509070918087,0.9240803165762861,0.9839263420724095,0.9530647721260675,0.9278187511865928,0.9891255151369029
Random Forest,7,0.9160252886201209,0.9268149020762775,0.9822097378277154,0.9537086142889613,0.9293428936755324,0.9893803909327142
Random Forest,8,0.910527762506872,0.9234956598499338,0.9795568039950062,0.9507004922377887,0.9173407772254727,0.9870225959258989
Random Forest,9,0.916712479384277,0.9262523872484207,0.9837728194726166,0.9541464891041163,0.9262126518666169,0.988758786913479
Random Forest,10,0.9164376030786147,0.9273611315750699,0.9820564830706818,0.9539254319490755,0.9261496637423979,0.9887618473719243
